,Unnamed: 0,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度,known,unknown
22,22,2022-05-01,14436.0,76.0,4.0,9.0,40.0,5.0,6.0,27.0,119.0,16.0,48.0,212.0,208.0,1052.0,312.0,95.0,333.0,335.0,3505.0,28.0,156.0,389.0,262.0,2209.0,263.0,592.0,509.0,2085.0,920.0,159.0,60.0,5.0,7.0,57.0,46.0,25.0,33.0,114.0,33.0,9.0,52.0,2.0,6.0,0.0,1.0,6.0,3.0,3.0,0.0,76.0,91.0,1995.0,919.0,6628.0,4325.0,140.0,189.0,70.0,3.0,2022,5,1492188,参考第2表(5月),福井県,136.6891,35.4726,14436.0,0.0
23,23,2022-04-01,12259.0,62.0,4.0,4.0,8.0,2.0,11.0,21.0,36.0,33.0,45.0,252.0,173.0,725.0,262.0,60.0,206.0,203.0,2454.0,20.0,89.0,326.0,89.0,1307.0,193.0,462.0,499.0,3582.0,638.0,163.0,52.0,2.0,23.0,43.0,37.0,1.0,26.0,31.0,7.0,9.0,45.0,7.0,9.0,8.0,1.0,1.0,5.0,20.0,3.0,62.0,50.0,1546.0,558.0,4369.0,5396.0,106.0,73.0,76.0,20.0,2022,4,1488455,参考第2表(4月),福井県,136.4622,35.3182,12256.0,3.0
24,24,2022-03-01,13448.0,43.0,0.0,0.0,6.0,2.0,14.0,9.0,21.0,9.0,40.0,242.0,142.0,796.0,513.0,61.0,161.0,336.0,3581.0,33.0,82.0,554.0,150.0,1770.0,281.0,730.0,775.0,1883.0,735.0,230.0,38.0,2.0,4.0,38.0,49.0,5.0,12.0,20.0,16.0,1.0,24.0,2.0,3.0,11.0,14.0,3.0,2.0,5.0,0.0,43.0,31.0,1796.0,640.0,6336.0,4391.0,98.0,49.0,59.0,5.0,2022,3,1593741,参考第2表(3月),福井県,136.6205,35.438,13448.0,0.0
25,25,2022-02-01,6085.0,11.0,0.0,6.0,2.0,0.0,4.0,6.0,19.0,14.0,18.0,106.0,78.0,355.0,146.0,7.0,91.0,153.0,1308.0,2.0,40.0,246.0,61.0,685.0,116.0,401.0,410.0,1204.0,333.0,139.0,22.0,0.0,0.0,13.0,14.0,3.0,14.0,13.0,8.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,11.0,18.0,738.0,291.0,2416.0,2509.0,30.0,35.0,30.0,7.0,2022,2,1479844,参考第2表(2月),福井県,136.4974,35.3382,6085.0,0.0
26,26,2022-01-01,8099.0,6.0,0.0,0.0,2.0,6.0,0.0,3.0,25.0,30.0,22.0,127.0,63.0,589.0,159.0,43.0,154.0,198.0,1933.0,18.0,60.0,309.0,83.0,967.0,143.0,473.0,560.0,1408.0,315.0,272.0,30.0,0.0,3.0,11.0,24.0,8.0,9.0,8.0,3.0,7.0,12.0,0.0,2.0,0.0,0.0,3.0,1.0,10.0,0.0,6.0,11.0,1033.0,455.0,3435.0,3058.0,46.0,27.0,18.0,10.0,2022,1,1473828,参考第2表(1月),福井県,136.5704,35.3886,8099.0,0.0
27,27,2021-12-01,22542.0,18.0,0.0,6.0,16.0,3.0,2.0,8.0,25.0,33.0,40.0,204.0,372.0,1139.0,295.0,53.0,334.0,307.0,11880.0,27.0,93.0,459.0,758.0,1559.0,262.0,661.0,589.0,1997.0,432.0,450.0,31.0,10.0,9.0,31.0,225.0,10.0,23.0,102.0,8.0,0.0,42.0,0.0,4.0,2.0,7.0,0.0,3.0,13.0,0.0,18.0,35.0,2135.0,787.0,14918.0,4160.0,285.0,133.0,58.0,13.0,2021,12,1465508,参考第2表(12月),福井県,136.54,35.6554,22542.0,0.0
28,28,2021-11-01,21403.0,28.0,0.0,12.0,36.0,0.0,14.0,33.0,53.0,282.0,315.0,272.0,204.0,1208.0,370.0,149.0,211.0,169.0,7309.0,87.0,148.0,413.0,654.0,4000.0,335.0,625.0,603.0,1695.0,768.0,471.0,174.0,1.0,0.0,33.0,359.0,21.0,16.0,130.0,24.0,7.0,105.0,2.0,10.0,9.0,11.0,25.0,4.0,8.0,0.0,28.0,95.0,2791.0,677.0,12711.0,4336.0,414.0,177.0,166.0,8.0,2021,11,1461319,参考第2表(11月),福井県,136.6704,35.5128,21403.0,0.0
29,29,2021-10-01,16295.0,12.0,3.0,3.0,14.0,9.0,3.0,22.0,59.0,14.0,10.0,148.0,101.0,441.0,175.0,49.0,236.0,191.0,7668.0,28.0,61.0,259.0,63.0,1853.0,178.0,293.0,658.0,2790.0,513.0,216.0,23.0,2.0,4.0,24.0,34.0,23.0,10.0,13.0,8.0,24.0,34.0,0.0,2.0,11.0,1.0,2.0,7.0,3.0,0.0,12.0,54.0,976.0,537.0,10021.0,4493.0,87.0,55.0,57.0,3.0,2021,10,1446517,参考第2表(10月),福井県,136.3441,35.5614,16295.0,0.0
30,30,2021-09-01,7656.0,15.0,0.0,0.0,22.0,0.0,0.0,4.0,21.0,14.0,14.0,84.0,85.0,312.0,125.0,27.0,107.0,186.0,3605.0,7.0,35.0,198.0,28.0,700.0,73.0,291.0,344.0,828.0,267.0,95.0,36.0,1.0,4.0,30.0,28.0,2.0,7.0,15.0,0.0,14.0,12.0,2.0,0.0,1.0,1.0,2.0,4.0,10.0,0.0,15.0,26.0,662.0,355.0,4604.0,1861.0,65.0,36.0,22.0,10.0,2021,9,1443179,参考第2表(9月),福井県,136.4536,35.6171,7656.0,0.0
31,31,2021-08-01,18777.0,152.0,4.0,152.0,188.0,33.0,151.0,98.0,65.0,42.0,255.0,287.0,220.0,633.0,390.0,214.0,213.0,313.0,4521.0,216.0,150.0,585.0,245.0,2294.0,232.0,831.0,1120.0,2149.0,963.0,436.0,58.0,75.0,85.0,67.0,229.0,63.0,58.0,8.0,121.0,2.0,169.0,36.0,71.0,122.0,82.0,0.0,169.0,209.0,1.0,152.0,626.0,2108.0,890.0,7877.0,5557.0,519.0,189.0,649.0,209.0,2021,8,1429247,参考第2表(8月),福井県,136.3524,35.3995,18776.0,1.0
